,ID,YEAR,MONTH,REGION,DISTRICT,FACILITY,BCG,PENTA_1,PENTA_2,PENTA_3,MEASLES_1,OPV_4,DPT,TT_1,V_BLUECAP,V_REDCAP,PERIONDNAME
31,32,2018,March,Upper River ,Jimara ,Demba Kunda Kuta Village OPD,,,,,,,,,,,March 2018
32,33,2018,March,Upper River ,Sandu ,Diabugu Min. Health Centre,76,67,91,100,63,132,77,,76,683,March 2018
33,34,2018,January,Western 1,Kanifing Municipal ,Bundung Maternal Child Health Hospital,611,487,289,259,,575,226,98,247,941,January 2018
34,35,2018,January,Lower River ,Jarra East ,Bureng Min. Health Centre,87,66,62,59,81,134,45,34,35,107,January 2018
35,36,2018,January,Western 2,Foni Kansala ,Bwiam General Hospital,62,61,83,64,91,91,69,,74,159,January 2018
36,37,2018,January,Central River,Nianija,Chamen Min. Health Centre,45,42,39,41,43,82,39,11,18,141,January 2018
37,38,2018,January,Central River,Niamina Dankunku,Dankunku Min. Health Centre,54,57,66,50,56,110,31,18,31,249,January 2018
38,39,2018,January,Upper River ,Jimara ,Demba Kunda Koto Village OPD,,,,,,,,,72,306,January 2018
39,40,2018,January,Upper River ,Jimara ,Demba Kunda Kuta Village OPD,,,,,,,,,,,January 2018
40,41,2018,January,Upper River ,Sandu ,Diabugu Min. Health Centre,43,109,105,80,76,121,61,12,63,200,January 2018
41,42,2018,January,North Bank West,Lower Niumi ,Essau Major Health Centre,144,140,130,111,108,230,89,24,72,212,January 2018
42,43,2018,January,Western 1,Kanifing Municipal ,Faji Kunda Major Health Centre,317,297,228,162,294,288,176,69,159,666,January 2018
43,44,2018,January,North Bank East ,Upper Badibu ,Fara Fenni RCH,161,168,146,90,116,178,51,13,79,482,January 2018
44,45,2018,January,Western 2,Kombo South ,Farato Village OPD,80,87,81,58,91,127,40,14,66,186,January 2018
45,46,2018,January,Upper River ,Kantora ,Fatoto Min. Health Centre,115,114,82,86,88,90,19,12,52,215,January 2018
46,47,2018,January,Upper River ,Jimara ,Gambisara Min. Health Centre,119,152,146,142,126,190,64,29,81,358,January 2018
47,48,2018,January,Western 1,Kanifing Municipal ,GFPA Kanifing NGO Clinic,71,46,46,30,74,108,30,5,35,66,January 2018
48,49,2018,January,Western 2,Kombo South ,Gunjur Min. Health Centre,142,107,118,82,158,,36,34,105,257,January 2018
49,50,2018,January,North Bank East ,Upper Badibu ,Illiassa Min. Health Centre,48,42,64,32,59,111,36,5,43,128,January 2018
50,51,2018,January,Western 1,Kanifing Municipal ,INB Seena Private Clinic,13,20,23,27,33,57,,6,25,56,January 2018
51,52,2018,January,Central River,Janjan Bureh ,Janjang-bureh Min. Health Centre,23,38,45,37,32,53,23,8,20,239,January 2018
52,53,2018,January,Western 2,Kombo East ,Kafuta Min. Health Centre,81,77,73,76,78,148,70,13,62,147,January 2018
53,54,2018,January,Lower River ,Kiang East ,Kaiaf Village OPD,40,29,30,25,38,38,,10,18,101,January 2018
54,55,2018,January,Central River,Lower Saloum,Kaur Minor Health Centre,111,117,130,93,84,202,112,51,78,202,January 2018
55,56,2018,January,North Bank East ,Lower Badibu,Kerewan Min. Health Centre,60,63,51,52,66,92,58,15,20,228,January 2018
56,57,2018,January,North Bank West,Upper Niumi ,Kerr Cherno Min. Health Centre,46,60,62,46,40,40,46,12,29,104,January 2018
57,58,2018,January,Lower River ,Kiang West ,Kiang Karantaba Min. Health Centre,20,18,14,8,20,23,3,3,8,54,January 2018
58,59,2018,January,Upper River ,Kantora ,Koina Community Health Centre,65,91,56,46,57,86,31,5,1,,January 2018
59,60,2018,January,Central River,Niamina East ,Kudang Min. Health Centre,48,105,101,78,66,134,75,13,34,97,January 2018
60,61,2018,January,Central River,Niani ,Kuntaur Maj. Health Centre,89,86,102,73,90,139,52,14,62,168,January 2018
61,62,2018,January,North Bank West,Jokadu ,Kuntaya Min. Health Centre,72,89,98,82,74,104,31,11,71,921,January 2018
62,63,2018,January,Lower River ,Kiang Central ,Kwinella Min. Health Centre,50,45,41,40,44,44,36,19,32,223,January 2018
63,64,2018,January,Western 1,Banjul City ,Leman Street RCH Clinic ,21,31,31,23,31,47,,4,14,31,January 2018
64,65,2018,January,Western 1,Kanifing Municipal ,Mbowen Private clinic,9,29,14,8,18,11,,4,15,13,January 2018
65,66,2018,January,Lower River ,Kiang West ,MRC Keneba,15,10,7,5,10,10,8,2,5,20,January 2018
66,67,2018,January,Western 1,Kombo North ,MRC-Sukuta ,4,12,8,12,,,,,,,January 2018
67,68,2018,January,Western 1,Kanifing Municipal ,New Jeshwang Clinic,40,29,18,30,50,67,17,12,25,43,January 2018
68,69,2018,January,North Bank East ,Sabach Sanjal,Ngenyen Sanjal Min. Health Centre,53,49,53,54,36,72,32,13,25,391,January 2018
69,70,2018,January,North Bank East ,Central Badibu ,Njaba Kunda Community Clinic,34,31,41,27,27,63,39,14,9,75,January 2018
70,71,2018,January,Western 1,Kanifing Municipal ,Old Jeshwang Min. Health Centre,53,57,60,44,45,68,22,7,34,104,January 2018
71,72,2018,January,Lower River ,Jarra East ,Pakaliba OPD Clinic,,,,,,,,,18,276,January 2018
72,73,2018,January,Western 1,Banjul City ,RVTH Polyclinic ,160,73,52,50,65,65,33,37,26,92,January 2018
73,74,2018,January,North Bank East ,Central Badibu ,Salikenni Min. Health Centre,27,30,31,22,32,44,12,7,14,105,January 2018
74,75,2018,January,Central River,Sami ,Sami Karantaba Min. Health Center,44,43,47,34,30,32,4,7,41,72,January 2018
75,76,2018,January,Western 2,Kombo South ,Sanyang Community Clinic,149,118,54,54,147,,43,23,80,177,January 2018
76,77,2018,January,North Bank East ,Sabach Sanjal,Sara Kunda Min. Health Centre,19,22,25,19,27,27,13,2,11,75,January 2018
77,78,2018,January,Western 1,Kanifing Municipal ,Serekunda General Hospital,,,,,,,,35,,,January 2018
78,79,2018,January,Western 1,Kanifing Municipal ,Serekunda Min. Health Centre,344,274,222,198,237,,128,42,90,212,January 2018
79,80,2018,January,Western 1,Kanifing Municipal ,Sharab medical centre,3,3,,8,3,2,6,,4,3,January 2018
80,81,2018,January,Western 2,Foni Jarrol ,Sintet Health Centre,21,29,20,12,20,41,21,2,23,77,January 2018
81,82,2018,January,Lower River ,Jarra West ,Soma Maj. Health Center,91,133,89,84,103,170,67,27,60,89,January 2018
82,83,2018,January,Western 1,Kombo North ,Sukuta Min. Health Centre,298,240,185,131,220,,89,41,140,307,January 2018
83,84,2018,January,North Bank West,Upper Niumi ,WEC Nema Kunku NGO Clinic,10,13,21,5,27,41,14,,21,93,January 2018
84,85,2018,January,Upper River ,Wuli West ,Yorobawol Min. Health Centre,52,89,61,52,45,90,27,8,15,76,January 2018
85,86,2018,January,Western 1,Kombo North ,Yundum Village OPD,87,82,51,43,53,53,34,36,33,59,January 2018
86,87,2018,February,North Bank West,Upper Niumi ,Albreda Min. Health Centre,41,33,25,29,46,53,7,,13,133,February 2018
87,88,2018,February,Western 1,Kanifing Municipal ,ASB Private Clinic,109,93,95,69,44,50,6,47,99,94,February 2018
88,89,2018,February,Upper River ,Wuli East ,Badja Kunda Min. Health Centre,96,113,116,79,100,165,100,,34,144,February 2018
89,90,2018,February,Western 1,Kanifing Municipal ,Bafrow Sere Kunda Clinic,104,109,81,77,71,107,21,15,169,76,February 2018
90,91,2018,February,Western 1,Kanifing Municipal ,Bakau Minor Health Centre,71,94,90,62,73,103,57,,55,135,February 2018
91,92,2018,February,Western 1,Kombo North ,Banjulnding Min. Health Centre,160,157,139,115,151,218,72,,101,305,February 2018
92,93,2018,February,Central River,Upper Fulladou West ,Bansang RCH Clinic,147,170,165,174,164,241,87,5,111,358,February 2018
93,94,2018,February,Upper River ,Basse ,Basse Maj. Health Centre,305,300,330,270,224,304,,,132,536,February 2018
94,95,2018,February,Western 2,Kombo Central ,Brikama Maj. Health centre,760,435,337,295,381,371,320,,283,831,February 2018
95,96,2018,February,Central River,Lower Fulladou West ,Brikamaba Min. Health Center,161,175,161,171,129,221,102,,133,319,February 2018
96,97,2018,February,Western 1,Kombo North ,Brufut Min. Health Centre,92,89,89,71,94,118,24,,51,164,February 2018
97,98,2018,February,Western 1,Kanifing Municipal ,Bundung Maternal Child Health Hospital,498,454,288,288,301,429,212,,400,722,February 2018
98,99,2018,February,Lower River ,Jarra East ,Bureng Min. Health Centre,84,75,62,53,65,95,30,,28,122,February 2018
99,100,2018,February,Western 2,Foni Kansala ,Bwiam General Hospital,72,69,76,69,61,61,20,,48,172,February 2018
100,101,2018,February,Central River,Nianija,Chamen Min. Health Centre,41,45,54,38,48,90,42,,23,166,February 2018
101,102,2018,February,Central River,Niamina Dankunku,Dankunku Min. Health Centre,61,41,48,63,41,83,,8,40,181,February 2018
102,103,2018,February,Upper River ,Jimara ,Demba Kunda Koto Village OPD,,,,,,,,,40,270,February 2018
103,104,2018,February,Upper River ,Sandu ,Diabugu Min. Health Centre,85,97,103,105,76,155,64,,60,1167,February 2018
104,105,2018,February,North Bank West,Lower Niumi ,Essau Major Health Centre,152,120,136,117,130,201,65,,87,246,February 2018
105,106,2018,February,Western 1,Kanifing Municipal ,Faji Kunda Major Health Centre,270,242,268,180,290,281,149,,158,519,February 2018
106,107,2018,February,North Bank East ,Upper Badibu ,Fara Fenni RCH,181,157,131,106,113,183,29,,68,277,February 2018
107,108,2018,February,Western 2,Kombo South ,Farato Village OPD,90,89,93,91,86,86,81,,63,221,February 2018
108,109,2018,February,Upper River ,Kantora ,Fatoto Min. Health Centre,104,144,150,103,98,140,39,,100,485,February 2018
109,110,2018,February,Upper River ,Jimara ,Gambisara Min. Health Centre,164,160,179,127,130,216,75,,87,731,February 2018
110,111,2018,February,Western 1,Kanifing Municipal ,GFPA Kanifing NGO Clinic,70,27,31,40,57,67,30,3,30,49,February 2018
111,112,2018,February,Western 2,Kombo South ,Gunjur Min. Health Centre,129,125,103,98,112,,43,1,116,265,February 2018
112,113,2018,February,North Bank East ,Upper Badibu ,Illiassa Min. Health Centre,75,63,39,45,58,90,44,,50,165,February 2018
113,114,2018,February,Western 1,Kanifing Municipal ,INB Seena Private Clinic,30,19,26,15,10,8,,5,21,35,February 2018
114,115,2018,February,Central River,Janjan Bureh ,Janjang-bureh Min. Health Centre,66,53,43,45,49,94,43,,52,275,February 2018
115,116,2018,February,Western 2,Kombo East ,Kafuta Min. Health Centre,76,80,79,73,66,138,,,61,147,February 2018
116,117,2018,February,Lower River ,Kiang East ,Kaiaf Village OPD,31,38,30,29,26,26,9,,,55,February 2018
117,118,2018,February,Central River,Lower Saloum,Kaur Minor Health Centre,105,126,127,134,126,235,115,,106,343,February 2018
118,119,2018,February,North Bank East ,Lower Badibu,Kerewan Min. Health Centre,62,58,64,49,55,110,51,,36,275,February 2018
119,120,2018,February,North Bank West,Upper Niumi ,Kerr Cherno Min. Health Centre,60,61,60,48,42,42,56,,23,52,February 2018
120,121,2018,February,Lower River ,Kiang West ,Kiang Karantaba Min. Health Centre,21,19,14,10,21,21,7,,6,47,February 2018
121,122,2018,February,Upper River ,Kantora ,Koina Community Health Centre,47,71,75,78,60,89,41,,59,216,February 2018
122,123,2018,February,Central River,Niamina East ,Kudang Min. Health Centre,79,98,112,114,71,147,87,,127,568,February 2018
123,124,2018,February,Central River,Niani ,Kuntaur Maj. Health Centre,118,88,95,101,97,153,58,,46,230,February 2018
124,125,2018,February,North Bank West,Jokadu ,Kuntaya Min. Health Centre,107,87,85,105,73,174,81,5,95,1236,February 2018
125,126,2018,February,Lower River ,Kiang Central ,Kwinella Min. Health Centre,57,40,37,35,40,77,30,,31,247,February 2018
126,127,2018,February,Western 1,Banjul City ,Leman Street RCH Clinic ,25,23,28,20,22,32,10,,14,20,February 2018
127,128,2018,February,Western 1,Kanifing Municipal ,Mbowen Private clinic,7,16,7,10,7,,8,7,17,12,February 2018
128,129,2018,February,Lower River ,Kiang West ,MRC Keneba,10,11,8,6,5,5,3,,4,8,February 2018
129,130,2018,February,Western 1,Kombo North ,MRC-Sukuta ,12,8,12,5,,,,,,,February 2018
130,131,2018,February,Western 1,Kanifing Municipal ,New Jeshwang Clinic,30,45,36,22,22,40,6,1,28,21,February 2018
131,132,2018,February,North Bank East ,Sabach Sanjal,Ngenyen Sanjal Min. Health Centre,58,58,48,51,48,80,37,,40,476,February 2018
132,133,2018,February,North Bank East ,Central Badibu ,Njaba Kunda Community Clinic,25,36,34,39,22,34,18,,25,122,February 2018
133,134,2018,February,Western 1,Kanifing Municipal ,Old Jeshwang Min. Health Centre,48,36,65,53,42,61,32,,35,83,February 2018
134,135,2018,February,Lower River ,Jarra East ,Pakaliba OPD Clinic,,,,,,,,,10,61,February 2018
135,136,2018,February,Western 1,Banjul City ,RVTH Polyclinic ,120,64,67,49,58,58,30,,33,68,February 2018
136,137,2018,February,North Bank East ,Central Badibu ,Salikenni Min. Health Centre,39,28,28,30,19,36,17,,12,67,February 2018
137,138,2018,February,Central River,Sami ,Sami Karantaba Min. Health Center,40,67,52,60,52,67,26,,36,118,February 2018
138,139,2018,February,Western 2,Kombo South ,Sanyang Community Clinic,143,131,111,66,121,,46,,97,203,February 2018
139,140,2018,February,North Bank East ,Sabach Sanjal,Sara Kunda Min. Health Centre,36,28,19,23,22,37,25,,15,256,February 2018
140,141,2018,February,Western 1,Kanifing Municipal ,Serekunda Min. Health Centre,228,243,234,194,186,,102,1,206,376,February 2018
141,142,2018,February,Western 1,Kanifing Municipal ,Sharab medical centre,4,10,5,12,5,1,1,,,4,February 2018
142,143,2018,February,Western 2,Foni Jarrol ,Sintet Health Centre,22,17,31,17,43,35,17,,12,62,February 2018
143,144,2018,February,Lower River ,Jarra West ,Soma Maj. Health Center,139,120,120,100,102,149,56,,98,374,February 2018
144,145,2018,June,Western 1,Kombo North ,Yundum Village OPD,50,75,86,75,73,73,68,14,74,111,June 2018
145,146,2018,July,North Bank West,Upper Niumi ,Albreda Min. Health Centre,22,25,35,51,36,36,52,12,42,124,July 2018
146,147,2018,July,Western 1,Kanifing Municipal ,ASB Private Clinic,111,88,85,87,82,117,35,60,127,129,July 2018
147,148,2018,July,Upper River ,Wuli East ,Badja Kunda Min. Health Centre,69,56,63,74,102,188,68,33,101,320,July 2018
148,149,2018,July,Western 1,Kanifing Municipal ,Bafrow Sere Kunda Clinic,32,61,59,88,,111,45,,77,97,July 2018
149,150,2018,July,Western 1,Kanifing Municipal ,Bakau Minor Health Centre,54,69,75,74,76,130,52,37,62,186,July 2018
150,151,2018,July,Western 1,Kombo North ,Banjulnding Min. Health Centre,97,146,144,179,146,273,126,65,140,302,July 2018
151,152,2018,July,Central River,Upper Fulladou West ,Bansang RCH Clinic,146,186,174,164,196,343,140,56,85,189,July 2018
152,153,2018,July,Upper River ,Basse ,Basse Maj. Health Centre,288,232,366,180,225,463,220,109,125,468,July 2018
153,154,2018,July,Western 2,Kombo Central ,Brikama Maj. Health centre,386,457,529,521,522,951,501,161,475,984,July 2018
154,155,2018,July,Central River,Lower Fulladou West ,Brikamaba Min. Health Center,94,107,113,98,170,306,116,52,136,187,July 2018
155,156,2018,July,Western 1,Kombo North ,Brufut Min. Health Centre,64,82,106,70,81,141,82,56,75,167,July 2018
156,157,2018,July,Western 1,Kanifing Municipal ,Bundung Maternal Child Health Hospital,534,357,368,335,362,675,360,117,500,489,July 2018
157,158,2018,July,Lower River ,Jarra East ,Bureng Min. Health Centre,62,57,71,75,74,140,54,19,30,175,July 2018
158,159,2018,July,Western 2,Foni Kansala ,Bwiam General Hospital,47,72,91,73,77,131,63,18,89,142,July 2018
159,160,2018,July,Central River,Nianija,Chamen Min. Health Centre,35,35,31,27,42,64,26,10,4,205,July 2018
160,161,2018,July,Central River,Niamina Dankunku,Dankunku Min. Health Centre,25,35,41,37,62,89,52,15,45,75,July 2018
161,162,2018,July,Upper River ,Jimara ,Demba Kunda Koto Village OPD,43,59,60,57,65,149,70,16,53,146,July 2018
162,163,2018,July,Upper River ,Sandu ,Diabugu Min. Health Centre,60,82,92,76,132,239,125,25,72,280,July 2018
163,164,2018,July,North Bank West,Lower Niumi ,Essau Major Health Centre,72,124,135,109,145,278,160,29,147,249,July 2018
164,165,2018,July,Western 1,Kanifing Municipal ,Faji Kunda Major Health Centre,250,225,315,324,340,632,310,97,372,654,July 2018
165,166,2018,July,North Bank East ,Upper Badibu ,Fara Fenni RCH,130,136,152,142,151,284,108,49,158,163,July 2018
166,167,2018,July,Western 2,Kombo South ,Farato Village OPD,33,86,113,106,89,164,84,23,98,194,July 2018
167,168,2018,July,Upper River ,Kantora ,Fatoto Min. Health Centre,62,97,106,87,125,192,96,73,95,294,July 2018
168,169,2018,July,Upper River ,Jimara ,Gambisara Min. Health Centre,80,136,124,80,107,191,89,50,101,215,July 2018
169,170,2018,July,Western 1,Kanifing Municipal ,GFPA Kanifing NGO Clinic,8,28,22,35,36,71,42,15,33,67,July 2018
170,171,2018,July,Western 2,Kombo South ,Gunjur Min. Health Centre,,,,,,,,,35,,July 2018
171,172,2018,July,North Bank East ,Upper Badibu ,Illiassa Min. Health Centre,31,27,46,47,53,130,40,10,53,113,July 2018
172,173,2018,July,Western 1,Kanifing Municipal ,INB Seena Private Clinic,12,24,22,23,20,46,,6,24,40,July 2018
173,174,2018,July,Central River,Janjan Bureh ,Janjang-bureh Min. Health Centre,46,39,33,40,50,98,48,6,25,196,July 2018
174,175,2018,July,Western 2,Kombo East ,Kafuta Min. Health Centre,77,80,79,77,74,74,74,13,58,130,July 2018
175,176,2018,July,Lower River ,Kiang East ,Kaiaf Village OPD,25,25,31,54,33,72,34,9,32,137,July 2018
176,177,2018,July,Central River,Lower Saloum,Kaur Minor Health Centre,80,101,114,113,108,114,84,34,99,300,July 2018
177,178,2018,July,North Bank East ,Lower Badibu,Kerewan Min. Health Centre,28,53,47,53,82,118,37,20,63,171,July 2018
178,179,2018,July,North Bank West,Upper Niumi ,Kerr Cherno Min. Health Centre,36,37,83,61,66,131,115,17,49,134,July 2018
179,180,2018,July,Lower River ,Kiang West ,Kiang Karantaba Min. Health Centre,8,14,18,20,22,59,18,8,5,63,July 2018
180,181,2018,July,Upper River ,Kantora ,Koina Community Health Centre,25,45,48,33,52,92,39,10,40,191,July 2018
181,182,2018,July,Central River,Niamina East ,Kudang Min. Health Centre,57,60,91,86,76,58,70,21,68,94,July 2018
182,183,2018,July,Central River,Niani ,Kuntaur Maj. Health Centre,65,68,99,87,131,205,88,21,92,167,July 2018
183,184,2018,July,North Bank West,Jokadu ,Kuntaya Min. Health Centre,53,64,89,105,95,95,127,25,84,777,July 2018
184,185,2018,July,Lower River ,Kiang Central ,Kwinella Min. Health Centre,57,44,40,40,40,80,32,11,21,208,July 2018
185,186,2018,July,Western 1,Banjul City ,Leman Street RCH Clinic ,15,19,24,29,26,40,11,,11,21,July 2018
186,187,2018,July,Western 1,Kanifing Municipal ,Mbowen Private clinic,7,5,6,5,11,,8,22,10,11,July 2018
187,188,2018,July,Lower River ,Kiang West ,MRC Keneba,2,9,9,13,9,13,6,3,6,10,July 2018
188,189,2018,July,Western 1,Kanifing Municipal ,New Jeshwang Clinic,25,40,39,34,35,55,28,15,35,69,July 2018
189,190,2018,July,North Bank East ,Sabach Sanjal,Ngenyen Sanjal Min. Health Centre,63,52,50,51,58,115,51,23,53,463,July 2018
190,191,2018,July,North Bank East ,Central Badibu ,Njaba Kunda Community Clinic,20,29,34,24,47,48,40,8,34,228,July 2018
191,192,2018,July,Western 1,Kanifing Municipal ,Old Jeshwang Min. Health Centre,31,42,43,31,59,98,42,20,44,108,July 2018
192,193,2018,July,Lower River ,Jarra East ,Pakaliba OPD Clinic,,,,,,,,,34,113,July 2018
193,194,2018,July,Western 1,Banjul City ,RVTH Polyclinic ,82,70,47,51,70,54,57,,55,134,July 2018
194,195,2018,July,North Bank East ,Central Badibu ,Salikenni Min. Health Centre,27,24,29,23,34,68,34,4,24,50,July 2018
195,196,2018,July,Central River,Sami ,Sami Karantaba Min. Health Center,21,73,60,55,50,77,71,16,43,135,July 2018
196,197,2018,July,North Bank East ,Sabach Sanjal,Sara Kunda Min. Health Centre,18,10,24,26,21,55,32,8,21,35,July 2018
197,198,2018,July,Western 1,Kanifing Municipal ,Serekunda Min. Health Centre,139,218,228,234,309,301,206,103,297,328,July 2018
198,199,2018,July,Western 1,Kanifing Municipal ,Sharab medical centre,3,7,8,3,6,4,,3,3,8,July 2018
199,200,2018,July,Western 2,Foni Jarrol ,Sintet Health Centre,14,26,20,22,17,38,21,3,24,81,July 2018
200,201,2018,July,Lower River ,Jarra West ,Soma Maj. Health Center,75,85,103,120,88,141,77,22,87,134,July 2018
201,202,2018,July,Western 1,Kombo North ,Sukuta Min. Health Centre,122,179,218,216,175,187,144,70,200,249,July 2018
202,203,2018,July,North Bank West,Upper Niumi ,WEC Nema Kunku NGO Clinic,17,12,17,26,11,35,26,3,15,77,July 2018
203,204,2018,July,Upper River ,Wuli West ,Yorobawol Min. Health Centre,60,56,62,65,70,179,106,21,77,163,July 2018
204,205,2018,July,Western 1,Kombo North ,Yundum Village OPD,54,80,93,70,85,85,28,22,74,94,July 2018
205,206,2018,August,North Bank West,Upper Niumi ,Albreda Min. Health Centre,11,26,28,33,22,48,23,8,32,99,August 2018
206,207,2018,August,Western 1,Kanifing Municipal ,ASB Private Clinic,95,103,94,86,95,102,7,70,99,76,August 2018
207,208,2018,August,Upper River ,Wuli East ,Badja Kunda Min. Health Centre,43,90,57,68,98,181,81,78,61,194,August 2018
208,209,2018,August,Western 1,Kanifing Municipal ,Bafrow Sere Kunda Clinic,64,69,54,54,79,128,44,24,84,101,August 2018
209,210,2018,August,Western 1,Kanifing Municipal ,Bakau Minor Health Centre,15,34,36,38,48,43,29,13,51,74,August 2018
210,211,2018,August,Western 1,Kombo North ,Banjulnding Min. Health Centre,97,96,130,163,149,267,126,44,169,233,August 2018
211,212,2018,August,Central River,Upper Fulladou West ,Bansang RCH Clinic,203,144,150,170,193,331,138,42,154,268,August 2018
212,213,2018,August,Upper River ,Basse ,Basse Maj. Health Centre,86,158,180,147,181,294,89,34,96,373,August 2018
213,214,2018,August,Western 2,Kombo Central ,Brikama Maj. Health centre,356,419,394,406,440,797,371,149,477,788,August 2018
214,215,2018,August,Central River,Lower Fulladou West ,Brikamaba Min. Health Center,87,122,104,111,176,270,109,43,111,223,August 2018
215,216,2018,August,Western 1,Kombo North ,Brufut Min. Health Centre,86,100,89,105,100,161,61,46,91,84,August 2018
216,217,2018,August,Western 1,Kanifing Municipal ,Bundung Maternal Child Health Hospital,212,131,156,181,199,291,105,50,83,76,August 2018
217,218,2018,August,Lower River ,Jarra East ,Bureng Min. Health Centre,64,50,49,52,66,114,50,16,13,167,August 2018
218,219,2018,August,Western 2,Foni Kansala ,Bwiam General Hospital,20,42,25,48,37,37,43,12,,,August 2018
219,220,2018,August,Central River,Nianija,Chamen Min. Health Centre,36,30,27,27,46,95,49,4,12,124,August 2018
220,221,2018,March,North Bank West,Lower Niumi ,Essau Major Health Centre,146,158,140,122,134,202,85,,114,310,March 2018
221,222,2018,March,Western 1,Kanifing Municipal ,Faji Kunda Major Health Centre,286,322,251,312,179,336,183,9,146,525,March 2018
222,223,2018,March,North Bank East ,Upper Badibu ,Fara Fenni RCH,176,158,145,126,88,114,31,,100,509,March 2018
223,224,2018,March,Western 2,Kombo South ,Farato Village OPD,88,88,86,83,119,63,69,,78,175,March 2018
224,225,2018,March,Upper River ,Kantora ,Fatoto Min. Health Centre,97,96,139,133,91,136,58,,62,108,March 2018
225,226,2018,March,Upper River ,Jimara ,Gambisara Min. Health Centre,167,146,178,116,118,190,82,,104,442,March 2018
226,227,2018,March,Western 1,Kanifing Municipal ,GFPA Kanifing NGO Clinic,60,45,45,39,44,73,32,,25,43,March 2018
227,228,2018,March,North Bank East ,Upper Badibu ,Illiassa Min. Health Centre,45,65,53,45,43,98,35,2,56,166,March 2018
